"ID";"Woonplaatsen";"Woonplaatscode_1";"Naam_2";"Code_3";"Naam_4";"Code_5";"Naam_6";"Code_7"
"728";"WP1310";"WP1310    ";"Hilvarenbeek                       ";"GM0798    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"729";"WP2945";"WP2945    ";"Leudal                             ";"GM1640    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"730";"WP2643";"WP2643    ";"Haarlemmerliede en Spaarnwoude     ";"GM0393    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"731";"WP1113";"WP1113    ";"Brummen                            ";"GM0213    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"732";"WP3575";"WP3575    ";"Bronckhorst                        ";"GM1876    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"733";"WP3203";"WP3203    ";"Ferwerderadiel                     ";"GM1722    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"734";"WP1938";"WP1938    ";"Bergen op Zoom                     ";"GM0748    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"735";"WP2116";"WP2116    ";"Zuidhorn                           ";"GM0056    ";"Groningen                ";"PV20      ";"Noord-Nederland          ";"LD01      "
"736";"WP3321";"WP3321    ";"Twenterand                         ";"GM1700    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"737";"WP2092";"WP2092    ";"Gemert-Bakel                       ";"GM1652    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"738";"WP2215";"WP2215    ";"Werkendam                          ";"GM0870    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"739";"WP3461";"WP3461    ";"Reimerswaal                        ";"GM0703    ";"Zeeland                  ";"PV29      ";"West-Nederland           ";"LD03      "
"740";"WP3395";"WP3395    ";"Dongeradeel                        ";"GM0058    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"741";"WP3396";"WP3396    ";"Dongeradeel                        ";"GM0058    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"742";"WP3397";"WP3397    ";"Dongeradeel                        ";"GM0058    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"743";"WP1065";"WP1065    ";"Bladel                             ";"GM1728    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"744";"WP1451";"WP1451    ";"Cuijk                              ";"GM1684    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"745";"WP1287";"WP1287    ";"Tubbergen                          ";"GM0183    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"746";"WP1845";"WP1845    ";"Elburg                             ";"GM0230    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"747";"WP3608";"WP3608    ";"Hardenberg                         ";"GM0160    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"748";"WP3222";"WP3222    ";"Harderwijk                         ";"GM0243    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"749";"WP3031";"WP3031    ";"Hardinxveld-Giessendam             ";"GM0523    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"750";"WP3253";"WP3253    ";"Oss                                ";"GM0828    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"751";"WP1266";"WP1266    ";"Haren                              ";"GM0017    ";"Groningen                ";"PV20      ";"Noord-Nederland          ";"LD01      "
"752";"WP1339";"WP1339    ";"Lochem                             ";"GM0262    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"753";"WP1676";"WP1676    ";"De Fryske Marren                   ";"GM1940    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"754";"WP2515";"WP2515    ";"Hollands Kroon                     ";"GM1911    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"755";"WP3178";"WP3178    ";"Achtkarspelen                      ";"GM0059    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"756";"WP1349";"WP1349    ";"Midden-Groningen                   ";"GM1952    ";"Groningen                ";"PV20      ";"Noord-Nederland          ";"LD01      "
"757";"WP3635";"WP3635    ";"Groningen                          ";"GM0014    ";"Groningen                ";"PV20      ";"Noord-Nederland          ";"LD01      "
"758";"WP2891";"WP2891    ";"Harlingen                          ";"GM0072    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"759";"WP1072";"WP1072    ";"Woerden                            ";"GM0632    ";"Utrecht                  ";"PV26      ";"West-Nederland           ";"LD03      "
"760";"WP2228";"WP2228    ";"Oost Gelre                         ";"GM1586    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"761";"WP2768";"WP2768    ";"Ede                                ";"GM0228    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"762";"WP2310";"WP2310    ";"Súdwest-Fryslân                    ";"GM1900    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"763";"WP2490";"WP2490    ";"Heerenveen                         ";"GM0074    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"764";"WP2491";"WP2491    ";"De Fryske Marren                   ";"GM1940    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"765";"WP2199";"WP2199    ";"Zwartewaterland                    ";"GM1896    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"766";"WP2882";"WP2882    ";"Hattem                             ";"GM0244    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"767";"WP3069";"WP3069    ";"Oldebroek                          ";"GM0269    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"768";"WP3576";"WP3576    ";"Ooststellingwerf                   ";"GM0085    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"769";"WP3577";"WP3577    ";"Ooststellingwerf                   ";"GM0085    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"770";"WP3566";"WP3566    ";"Medemblik                          ";"GM0420    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"771";"WP3113";"WP3113    ";"Westerveld                         ";"GM1701    ";"Drenthe                  ";"PV22      ";"Noord-Nederland          ";"LD01      "
"772";"WP3114";"WP3114    ";"Westerveld                         ";"GM1701    ";"Drenthe                  ";"PV22      ";"Noord-Nederland          ";"LD01      "
"773";"WP2852";"WP2852    ";"Alphen aan den Rijn                ";"GM0484    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"774";"WP2851";"WP2851    ";"Alphen aan den Rijn                ";"GM0484    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"775";"WP1625";"WP1625    ";"Maasdriel                          ";"GM0263    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"776";"WP3515";"WP3515    ";"Heusden                            ";"GM0797    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"777";"WP2623";"WP2623    ";"Terschelling                       ";"GM0093    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"778";"WP2407";"WP2407    ";"Súdwest-Fryslân                    ";"GM1900    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"779";"WP1917";"WP1917    ";"Maasgouw                           ";"GM1641    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"780";"WP2987";"WP2987    ";"Renkum                             ";"GM0274    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"781";"WP1576";"WP1576    ";"Oude IJsselstreek                  ";"GM1509    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"782";"WP1551";"WP1551    ";"Hardenberg                         ";"GM0160    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"783";"WP2458";"WP2458    ";"Heemskerk                          ";"GM0396    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"784";"WP2563";"WP2563    ";"Heemstede                          ";"GM0397    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"785";"WP1401";"WP1401    ";"Steenbergen                        ";"GM0851    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"786";"WP1387";"WP1387    ";"Nissewaard                         ";"GM1930    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"787";"WP1264";"WP1264    ";"Borsele                            ";"GM0654    ";"Zeeland                  ";"PV29      ";"West-Nederland           ";"LD03      "
"788";"WP1822";"WP1822    ";"Goes                               ";"GM0664    ";"Zeeland                  ";"PV29      ";"West-Nederland           ";"LD03      "
"789";"WP1823";"WP1823    ";"Goes                               ";"GM0664    ";"Zeeland                  ";"PV29      ";"West-Nederland           ";"LD03      "
"790";"WP2865";"WP2865    ";"Heerde                             ";"GM0246    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"791";"WP2206";"WP2206    ";"Montferland                        ";"GM1955    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"792";"WP2899";"WP2899    ";"Kampen                             ";"GM0166    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"793";"WP1265";"WP1265    ";"Borsele                            ";"GM0654    ";"Zeeland                  ";"PV29      ";"West-Nederland           ";"LD03      "
"794";"WP3523";"WP3523    ";"Heerenveen                         ";"GM0074    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"795";"WP1626";"WP1626    ";"Maasdriel                          ";"GM0263    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"796";"WP1746";"WP1746    ";"Heerhugowaard                      ";"GM0398    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"797";"WP2398";"WP2398    ";"Zwijndrecht                        ";"GM0642    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"798";"WP1590";"WP1590    ";"Roosendaal                         ";"GM1674    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"799";"WP1312";"WP1312    ";"Heerlen                            ";"GM0917    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"800";"WP3516";"WP3516    ";"Heusden                            ";"GM0797    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"801";"WP3059";"WP3059    ";"Bernheze                           ";"GM1721    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"802";"WP3361";"WP3361    ";"Neerijnen                          ";"GM0304    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"803";"WP3060";"WP3060    ";"Bernheze                           ";"GM1721    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"804";"WP1498";"WP1498    ";"Raalte                             ";"GM0177    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"805";"WP1314";"WP1314    ";"Heeze-Leende                       ";"GM1658    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"806";"WP3204";"WP3204    ";"Ferwerderadiel                     ";"GM1722    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"807";"WP1031";"WP1031    ";"Horst aan de Maas                  ";"GM1507    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"808";"WP2109";"WP2109    ";"Zederik                            ";"GM0707    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"809";"WP2946";"WP2946    ";"Leudal                             ";"GM1640    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"810";"WP2329";"WP2329    ";"Venray                             ";"GM0984    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"811";"WP1973";"WP1973    ";"Súdwest-Fryslân                    ";"GM1900    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"812";"WP2663";"WP2663    ";"Westland                           ";"GM1783    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"813";"WP2483";"WP2483    ";"Gennep                             ";"GM0907    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"814";"WP1228";"WP1228    ";"Gulpen-Wittem                      ";"GM1729    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"815";"WP1318";"WP1318    ";"Moerdijk                           ";"GM1709    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"816";"WP3091";"WP3091    ";"Hulst                              ";"GM0677    ";"Zeeland                  ";"PV29      ";"West-Nederland           ";"LD03      "
"817";"WP2292";"WP2292    ";"Berg en Dal                        ";"GM1945    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"818";"WP1899";"WP1899    ";"Oldambt                            ";"GM1895    ";"Groningen                ";"PV20      ";"Noord-Nederland          ";"LD01      "
"819";"WP1243";"WP1243    ";"Heiloo                             ";"GM0399    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"820";"WP2381";"WP2381    ";"Binnenmaas                         ";"GM0585    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"821";"WP1255";"WP1255    ";"Borsele                            ";"GM0654    ";"Zeeland                  ";"PV29      ";"West-Nederland           ";"LD03      "
"822";"WP1492";"WP1492    ";"Raalte                             ";"GM0177    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"823";"WP3033";"WP3033    ";"Nissewaard                         ";"GM1930    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"824";"WP1909";"WP1909    ";"Oudewater                          ";"GM0589    ";"Utrecht                  ";"PV26      ";"West-Nederland           ";"LD03      "
"825";"WP3441";"WP3441    ";"Peel en Maas                       ";"GM1894    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"826";"WP3056";"WP3056    ";"Den Helder                         ";"GM0400    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"827";"WP1778";"WP1778    ";"Deurne                             ";"GM0762    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"828";"WP3583";"WP3583    ";"Hellendoorn                        ";"GM0163    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"829";"WP2137";"WP2137    ";"Hellevoetsluis                     ";"GM0530    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"830";"WP3362";"WP3362    ";"Neerijnen                          ";"GM0304    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"831";"WP1350";"WP1350    ";"Midden-Groningen                   ";"GM1952    ";"Groningen                ";"PV20      ";"Noord-Nederland          ";"LD01      "
"832";"WP1146";"WP1146    ";"Helmond                            ";"GM0794    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"833";"WP1428";"WP1428    ";"Haaren                             ";"GM0788    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"834";"WP1507";"WP1507    ";"Drechterland                       ";"GM0498    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"835";"WP1970";"WP1970    ";"Súdwest-Fryslân                    ";"GM1900    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"836";"WP1865";"WP1865    ";"Overbetuwe                         ";"GM1734    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"837";"WP1202";"WP1202    ";"Leeuwarden                         ";"GM0080    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"838";"WP3347";"WP3347    ";"Opsterland                         ";"GM0086    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"839";"WP2352";"WP2352    ";"Hendrik-Ido-Ambacht                ";"GM0531    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"840";"WP3510";"WP3510    ";"Hengelo                            ";"GM0164    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"841";"WP1535";"WP1535    ";"Bronckhorst                        ";"GM1876    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"842";"WP1443";"WP1443    ";"Hof van Twente                     ";"GM1735    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"843";"WP3098";"WP3098    ";"Hulst                              ";"GM0677    ";"Zeeland                  ";"PV29      ";"West-Nederland           ";"LD03      "
"844";"WP1186";"WP1186    ";"Koggenland                         ";"GM1598    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"845";"WP1365";"WP1365    ";"Waadhoeke                          ";"GM1949    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"846";"WP2590";"WP2590    ";"Roerdalen                          ";"GM1669    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"847";"WP2378";"WP2378    ";"Goeree-Overflakkee                 ";"GM1924    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"848";"WP2566";"WP2566    ";"Wijchen                            ";"GM0296    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"849";"WP3255";"WP3255    ";"Oss                                ";"GM0828    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"850";"WP3517";"WP3517    ";"Heusden                            ";"GM0797    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"851";"WP2282";"WP2282    ";"Roermond                           ";"GM0957    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"852";"WP3570";"WP3570    ";"Borne                              ";"GM0147    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"853";"WP1595";"WP1595    ";"'s-Hertogenbosch                   ";"GM0796    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"854";"WP1866";"WP1866    ";"Overbetuwe                         ";"GM1734    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"855";"WP2977";"WP2977    ";"Zevenaar                           ";"GM0299    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"856";"WP2354";"WP2354    ";"Lingewaal                          ";"GM0733    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"857";"WP1867";"WP1867    ";"Overbetuwe                         ";"GM1734    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"858";"WP2648";"WP2648    ";"Oisterwijk                         ";"GM0824    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"859";"WP2355";"WP2355    ";"Lingewaal                          ";"GM0733    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"860";"WP3495";"WP3495    ";"Heumen                             ";"GM0252    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"861";"WP1195";"WP1195    ";"Aalten                             ";"GM0197    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"862";"WP2929";"WP2929    ";"Asten                              ";"GM0743    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"863";"WP3518";"WP3518    ";"Heusden                            ";"GM0797    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"864";"WP2988";"WP2988    ";"Renkum                             ";"GM0274    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"865";"WP2947";"WP2947    ";"Leudal                             ";"GM1640    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"866";"WP1288";"WP1288    ";"Tubbergen                          ";"GM0183    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"867";"WP3398";"WP3398    ";"Dongeradeel                        ";"GM0058    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"868";"WP2311";"WP2311    ";"Súdwest-Fryslân                    ";"GM1900    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"869";"WP2016";"WP2016    ";"Súdwest-Fryslân                    ";"GM1900    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"870";"WP3223";"WP3223    ";"Harderwijk                         ";"GM0243    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"871";"WP2312";"WP2312    ";"Súdwest-Fryslân                    ";"GM1900    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"872";"WP3013";"WP3013    ";"Midden-Drenthe                     ";"GM1731    ";"Drenthe                  ";"PV22      ";"Noord-Nederland          ";"LD01      "
"873";"WP3227";"WP3227    ";"Leeuwarden                         ";"GM0080    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"874";"WP2017";"WP2017    ";"Leeuwarden                         ";"GM0080    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"875";"WP3535";"WP3535    ";"Hillegom                           ";"GM0534    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"876";"WP1307";"WP1307    ";"Hilvarenbeek                       ";"GM0798    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"877";"WP1036";"WP1036    ";"Hilversum                          ";"GM0402    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"878";"WP1968";"WP1968    ";"Súdwest-Fryslân                    ";"GM1900    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"879";"WP2018";"WP2018    ";"Súdwest-Fryslân                    ";"GM1900    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"880";"WP1488";"WP1488    ";"Hollands Kroon                     ";"GM1911    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"881";"WP1363";"WP1363    ";"Waadhoeke                          ";"GM1949    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"882";"WP1838";"WP1838    ";"Edam-Volendam                      ";"GM0385    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"883";"WP1256";"WP1256    ";"Borsele                            ";"GM0654    ";"Zeeland                  ";"PV29      ";"West-Nederland           ";"LD03      "
"884";"WP3548";"WP3548    ";"De Ronde Venen                     ";"GM0736    ";"Utrecht                  ";"PV26      ";"West-Nederland           ";"LD03      "
"885";"WP3626";"WP3626    ";"Vianen                             ";"GM0620    ";"Utrecht                  ";"PV26      ";"West-Nederland           ";"LD03      "
"886";"WP1130";"WP1130    ";"Terneuzen                          ";"GM0715    ";"Zeeland                  ";"PV29      ";"West-Nederland           ";"LD03      "
"887";"WP3082";"WP3082    ";"Rotterdam                          ";"GM0599    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"888";"WP2257";"WP2257    ";"Apeldoorn                          ";"GM0200    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"889";"WP2772";"WP2772    ";"Ede                                ";"GM0228    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"890";"WP1313";"WP1313    ";"Heerlen                            ";"GM0917    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"891";"WP1627";"WP1627    ";"Maasdriel                          ";"GM0263    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"892";"WP1723";"WP1723    ";"Weststellingwerf                   ";"GM0098    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"893";"WP2871";"WP2871    ";"Nijkerk                            ";"GM0267    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"894";"WP1250";"WP1250    ";"Halderberge                        ";"GM1655    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"895";"WP1089";"WP1089    ";"Wierden                            ";"GM0189    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"896";"WP2938";"WP2938    ";"De Bilt                            ";"GM0310    ";"Utrecht                  ";"PV26      ";"West-Nederland           ";"LD03      "
"897";"WP1813";"WP1813    ";"Hoogeveen                          ";"GM0118    ";"Drenthe                  ";"PV22      ";"Noord-Nederland          ";"LD01      "
"898";"WP2586";"WP2586    ";"Ameland                            ";"GM0060    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"899";"WP2156";"WP2156    ";"Coevorden                          ";"GM0109    ";"Drenthe                  ";"PV22      ";"Noord-Nederland          ";"LD01      "
"900";"WP1567";"WP1567    ";"Rijssen-Holten                     ";"GM1742    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"901";"WP1217";"WP1217    ";"Boxmeer                            ";"GM0756    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"902";"WP1552";"WP1552    ";"Hardenberg                         ";"GM0160    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"903";"WP1553";"WP1553    ";"Hardenberg                         ";"GM0160    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"904";"WP2814";"WP2814    ";"Sittard-Geleen                     ";"GM1883    ";"Limburg                  ";"PV31      ";"Zuid-Nederland           ";"LD04      "
"905";"WP3399";"WP3399    ";"Dongeradeel                        ";"GM0058    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"906";"WP3237";"WP3237    ";"Delfzijl                           ";"GM0010    ";"Groningen                ";"PV20      ";"Noord-Nederland          ";"LD01      "
"907";"WP2408";"WP2408    ";"Súdwest-Fryslân                    ";"GM1900    ";"Friesland                ";"PV21      ";"Noord-Nederland          ";"LD01      "
"908";"WP1868";"WP1868    ";"Overbetuwe                         ";"GM1734    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"909";"WP2656";"WP2656    ";"Westland                           ";"GM1783    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"910";"WP1597";"WP1597    ";"Haarlemmermeer                     ";"GM0394    ";"Noord-Holland            ";"PV27      ";"West-Nederland           ";"LD03      "
"911";"WP2968";"WP2968    ";"Sluis                              ";"GM1714    ";"Zeeland                  ";"PV29      ";"West-Nederland           ";"LD03      "
"912";"WP3564";"WP3564    ";"Apeldoorn                          ";"GM0200    ";"Gelderland               ";"PV25      ";"Oost-Nederland           ";"LD02      "
"913";"WP1434";"WP1434    ";"Giessenlanden                      ";"GM0689    ";"Zuid-Holland             ";"PV28      ";"West-Nederland           ";"LD03      "
"914";"WP1874";"WP1874    ";"Reusel-De Mierden                  ";"GM1667    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"915";"WP2575";"WP2575    ";"Drimmelen                          ";"GM1719    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"916";"WP1066";"WP1066    ";"Bladel                             ";"GM1728    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"917";"WP1554";"WP1554    ";"Hardenberg                         ";"GM0160    ";"Overijssel               ";"PV23      ";"Oost-Nederland           ";"LD02      "
"918";"WP1000";"WP1000    ";"Woensdrecht                        ";"GM0873    ";"Noord-Brabant            ";"PV30      ";"Zuid-Nederland           ";"LD04      "
"919";"WP3014";"WP3014    ";"Midden-Drenthe                     ";"GM1731    ";"Drenthe                  ";"PV22      ";"Noord-Nederland          ";"LD01      "
"920";"WP3115";"WP3115    ";"Westerveld                         ";"GM1701    ";"Drenthe                  ";"PV22      ";"Noord-Nederland          ";"LD01      "
